BNet_UI,Status,ProbeKit,DNA_Yield,DateExtracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,Sequence Successful,ExtractedBy,Contributor,ProjectCode,Type ,DNA_Fragmentation,Notes
BN005345,,,good,7/31/2018,LEP-47413,Nymphalidae,Nymphalinae,Kallimini,,Hypolimnas,diomea,,Abdomen Soak,0.184,36.8,Hypolimnas diomea,Hypolimnas diomea,,,K. Dexter,,,,,1 gene
BN005369,,13,good,8/2/2018,LEP-53694,Hesperiidae,Hesperiinae,Moncini,,Callimormus,saturnus,,Abdomen Soak,0.211,42.2,Callimormus saturnus,Callimormus saturnus,,,K. Dexter,,Hesp,,,1 gene
BN005336,,,good,7/31/2018,LEP-49460,Nymphalidae,Nymphalinae,Melitaeini,,Phyciodes,phaon,,Abdomen Soak,0.213,42.6,Phyciodes phaon,Phyciodes phaon,,,K. Dexter,,,,,3 genes
BN005396,duplicate,NA,good,8/2/2018,LEP-53665,Hesperiidae,,,,Achlyodes,pallida,,Abdomen Soak,0.225,45,Achlyodes pallida,Achlyodes pallida,,,K. Dexter,,,,,1 gene
BN005352,,,good,8/2/2018,LEP-53244,Lycaenidae,Theclinae,Eumaeini,,Ministrymon,sanguinalis,,Abdomen Soak,0.231,46.2,Ministrymon sanguinalis,Ministrymon sanguinalis,,,K. Dexter,,,,,
BN005309,,,good,7/31/2018,LEP-53177,Papilionidae,Papilioninae,Troidini,,Parides,bunichus,chamissonia,Abdomen Soak,0.244,48.8,Parides bunichus,Parides bunichus,,,K. Dexter,,,,,2 genes
BN005327,,,good,7/31/2018,LEP-58465,Nymphalidae,Nymphalinae,Nymphalini,,Siproeta,stelens,,Abdomen Soak,0.247,49.4,Siproeta stelens,Siproeta stelenes,,,K. Dexter,,,,,
BN005302,,,good,7/31/2018,LEP-53196,Riodinidae,Riodininae,Riodinini,,Melanis,smithiae,,Abdomen Soak,0.249,49.8,Melanis smithiae,Melanis smithiae,,,K. Dexter,,,,,
BN005323,,,good,7/31/2018,LEP-53104,Nymphalidae,Danainae,Ithomiini,,Ithomia,agnosia,,Abdomen Soak,0.258,51.6,Ithomia agnosia,Ithomia agnosia,,,K. Dexter,,,,,3 genes
BN005338,,,good,7/31/2018,LEP-48787,Lycaenidae,,,,Axiocerces,amanga,,Abdomen Soak,0.259,51.8,Axiocerces amanga,Axiocerses amanga,,,K. Dexter,,,,,
BN005393,,13,good,8/2/2018,LEP-53641,Hesperiidae,,,,Moeris,stroma,,Abdomen Soak,0.259,51.8,Moeris stroma,Moeris stroma,,,K. Dexter,,Hesp,,,1 gene
BN005342,,,good,7/31/2018,LEP-47500,Nymphalidae,Heliconiinae,Argynnini,,Euptoieta,hegesia,,Abdomen Soak,0.266,53.2,Euptoieta hegesia,Euptoieta hegesia,,,K. Dexter,,,,,4 genes
BN005346,,,good,7/31/2018,LEP-47404,Nymphalidae,,,,Vindula,celebensis,,Abdomen Soak,0.274,54.8,Vindula celebensis,N/A,,,K. Dexter,,,,,
BN005347,,,good,7/31/2018,LEP-47383,Nymphalidae,,,,Hestina,divona,,Abdomen Soak,0.277,55.4,Hestina divona,N/A,,,K. Dexter,,,,,
BN005383,,,good,8/2/2018,LEP-53210,Nymphalidae,Nymphalinae,Nymphalini,,Hypanartia,bella,,Abdomen Soak,0.277,55.4,Hypanartia bella,Hypanartia bella,,,K. Dexter,,,,,8 genes
BN005355,,,good,8/2/2018,LEP-53520,Riodinidae,,,,Anteros,carausius,,Abdomen Soak,0.285,57,Anteros carausius,Anteros carausius,,,K. Dexter,,,,,1 gene
BN005333,,,good,7/31/2018,LEP-50373,Papilionidae,Papilioninae,Leptocircini,,Graphium,porthaon,,Abdomen Soak,0.286,57.2,Graphium porthaon,Graphium porthaon,,,K. Dexter,,,,,
BN005358,,13,good,8/2/2018,LEP-53565,Hesperiidae,,,,Polythrix,asine,,Abdomen Soak,0.293,58.6,Polythrix asine,Polythrix asine,,,K. Dexter,,Hesp,,,1 gene
BN005330,,,good,7/31/2018,LEP-50521,Papilionidae,Papilioninae,Leptocircini,,Graphium,leonidas,,Abdomen Soak,0.296,59.2,Graphium leonidas,Graphium leonidas,,,K. Dexter,,,,,
BN005332,,,good,7/31/2018,LEP-50374,Nymphalidae,Nymphalinae,Kallimini,,Hypolimnas,misippus,,Abdomen Soak,0.302,60.4,Hypolimnas misippus,Hypolimnas misippus,,,K. Dexter,,,,,3 genes
BN005328,,,good,7/31/2018,LEP-50870,Nymphalidae,Limenitidinae,Limenitidini,,Limenitis,reducta,,Abdomen Soak,0.304,60.8,Limenitis reducta,Limenitis reducta,,,K. Dexter,,,,,11 genes
BN005311,,,good,7/31/2018,LEP-53143,Nymphalidae,Biblidinae,Callicorini,,Diaethria,eluina,,Abdomen Soak,0.308,61.6,Diaethria eluina,Diaethria eluina,,,K. Dexter,,,,,2 genes
BN005378,,,good,8/2/2018,LEP-53286,Nymphalidae,Charaxinae,Preponini,,Prepona,claudina,,Abdomen Soak,0.309,61.8,Prepona claudina,Prepona claudina,,,K. Dexter,,,,,
BN005308,,,good,7/31/2018,LEP-53178,Papilionidae,Papilioninae,Leptocircini,,Mimoides,lysithous,lysithous,Abdomen Soak,0.315,63,Mimoides lysithous,Mimoides lysithous,,,K. Dexter,,,,,
BN005370,,13,good,8/2/2018,LEP-53714,Hesperiidae,Heteropterinae,,Carterocephalus group,Piruna,roeveri,,Abdomen Soak,0.315,63,Piruna roeveri,Piruna roeveri,,,K. Dexter,,Hesp,,,
BN005368,,,good,8/2/2018,LEP-53692,Nymphalidae,Nymphalinae,Melitaeini,,Anthanassa,subota,,Abdomen Soak,0.316,63.2,Anthanassa subota,N/A,,,K. Dexter,,,,,
BN005373,,,good,8/2/2018,LEP-53211,Nymphalidae,Satyrinae,Morphini,,Morpho,epistrophus,,Abdomen Soak,0.316,63.2,Morpho epistrophus,Morpho epistrophus,,,K. Dexter,,,,,7 genes
BN005348,,,good,7/31/2018,LEP-53114,Nymphalidae,Satyrinae,Satyrini,,Taygetis,yphitma,,Abdomen Soak,0.318,63.6,Taygetis yphitma,Taygetis ypthima,,,K. Dexter,,,,,
BN005379,,,good,8/2/2018,LEP-53298,Nymphalidae,Heliconiinae,Heliconiini,,Philaethria,wernichei,,Abdomen Soak,0.33,66,Philaethria wernichei,Philaethria wernickei,,,K. Dexter,,,,,
BN005335,,,good,7/31/2018,LEP-49688,Papilionidae,Papilioninae,Papilionini,,Pterourus,troilus,,Abdomen Soak,0.331,66.2,Pterourus troilus,Pterourus troilus,,,K. Dexter,,,,,2 genes
BN005344,,,good,7/31/2018,LEP-47448,Nymphalidae,Nymphalinae,Kallimini,,Hypolimnas,anomala,,Abdomen Soak,0.331,66.2,Hypolimnas anomala,Hypolimnas anomala,,,K. Dexter,,,,,1 gene
BN005301,,,good,7/31/2018,LEP-53209,Nymphalidae,Satyrinae,Satyrini,,Euptychoides,castrensis,,Abdomen Soak,0.334,66.8,Euptychoides castrensis,Euptychoides castrensis,,,K. Dexter,,,,,5 genes
BN005381,,,good,8/2/2018,LEP-53306,Nymphalidae,Heliconiinae,Argynnini,,Euptoieta,hortensia,,Abdomen Soak,0.334,66.8,Euptoieta hortensia,Euptoieta hortensia,,,K. Dexter,,,,,1 gene
BN005340,,,good,7/31/2018,LEP-47656,Papilionidae,Papilioninae,Papilionini,,Papilio,multicaudata,,Abdomen Soak,0.34,68,Papilio multicaudata,Pterourus multicaudata,,,K. Dexter,,,,,
BN005334,,,good,7/31/2018,LEP-50361,Papilionidae,Papilioninae,Leptocircini,,Graphium,antheus,,Abdomen Soak,0.343,68.6,Graphium antheus,Graphium antheus,,,K. Dexter,,,,,
BN005306,,,good,7/31/2018,LEP-53185,Papilionidae,Papilioninae,Papilionini,,Heraclides,hectorides,,Abdomen Soak,0.348,69.6,Heraclides hectorides,Heraclides hectorides,,,K. Dexter,,,,,2 genes
BN005365,,,good,8/2/2018,LEP-53682,Riodinidae,Riodininae,Riodinini,,Lasaia,sessilis,,Abdomen Soak,0.348,69.6,Lasaia sessilis,Lasaia sessilis,,,K. Dexter,,,,,
BN005304,,,good,7/31/2018,LEP-53193,Riodinidae,Riodininae,Nymphalini,,Aricoris,gauchoana,,Abdomen Soak,0.349,69.8,Aricoris gauchoana,Aricoris gauchoana,,,K. Dexter,,,,,
BN005372,,13,good,8/2/2018,LEP-53752,Hesperiidae,Hesperiinae,,,Poanes,ulphila,,Abdomen Soak,0.35,70,Poanes ulphila,Poanes ulphila,,,K. Dexter,,Hesp,,,
BN005361,,,good,8/2/2018,LEP-53633,Nymphalidae,Nymphalinae,Melitaeini,,Phyciodes,pallescens,,Abdomen Soak,0.354,70.8,Phyciodes pallescens,Phyciodes pallescens,,,K. Dexter,,,,,3 genes
BN005385,,,good,8/2/2018,LEP-53238,Nymphalidae,Satyrinae,Morphini,,Morpho,aega,,Abdomen Soak,0.373,74.6,Morpho aega,Morpho aega,,,K. Dexter,,,,,7 genes
BN005337,,,good,7/31/2018,LEP-48901,Nymphalidae,Satyrinae,,,Megisto,cymela,,Abdomen Soak,0.378,75.6,Megisto cymela,Megisto cymela,,,K. Dexter,,,,,5 genes
BN005339,,,good,7/31/2018,LEP-48083,Nymphalidae,Nymphalinae,Nymphalini,,Polygonia,interposita,,Abdomen Soak,0.382,76.4,Polygonia interposita,Polygonia interposita,,,K. Dexter,,,,,5 genes
BN005326,,,good,7/31/2018,LEP-53082,Nymphalidae,Apaturinae,,,Doxocopa,zunilda,,Abdomen Soak,0.384,76.8,Doxocopa zunilda,Doxocopa zunilda,,,K. Dexter,,,,,
BN005382,,,good,8/2/2018,LEP-53307,Nymphalidae,Danainae,Ithomiini,,Dircenna,dero,rhoeo,Abdomen Soak,0.387,77.4,Dircenna dero,Dircenna dero,,,K. Dexter,,,,,7 genes
BN005394,,13,good,8/2/2018,LEP-53660,Hesperiidae,,,,Cogia,caicus,moschus,Abdomen Soak,0.389,77.8,Cogia caicus,Cogia caicus,,,K. Dexter,,Hesp,,,
BN005357,,,good,8/2/2018,LEP-53560,Riodinidae,,,,Rhetus,arcius,,Abdomen Soak,0.39,78,Rhetus arcius,Rhetus arcius,,,K. Dexter,,,,,1 gene
BN005380,,,good,8/2/2018,LEP-53246,Riodinidae,Riodininae,Eurybiini,,Eurybia,pergaea,,Abdomen Soak,0.39,78,Eurybia pergaea,Eurybia pergaea,,,K. Dexter,,,,,
BN005305,,,good,7/31/2018,LEP-53189,Riodinidae,Euselasiinae,Euselasiini,,Euselasia,eugeon,,Abdomen Soak,0.397,79.4,Euselasia eugeon,Euselasia eugeon,,,K. Dexter,,,,,
BN005310,,,good,7/31/2018,LEP-53175,Riodinidae,Riodininae,Symmachiini,,Stichelia,bifasciata,,Abdomen Soak,0.398,79.6,Stichelia bifasciata,N/A,,,K. Dexter,,,,,
BN005353,,,good,8/2/2018,LEP-53247,Nymphalidae,Biblidinae,Biblidini,,Pyrrhogyra,neaerea,,Abdomen Soak,0.4,80,Pyrrhogyra neaerea,Pyrrhogyra neaerea,,,K. Dexter,,,,,1 gene
BN005312,,,good,7/31/2018,LEP-53141,Nymphalidae,Charaxinae,Anaeini,,Memphis,appias,,Abdomen Soak,0.408,81.6,Memphis appias,Memphis appias,,,K. Dexter,,,,,9 genes
BN005395,,13,good,8/2/2018,LEP-53764,Hesperiidae,Hesperiinae,,,Poanes,melane,vitellina,Abdomen Soak,0.41,82,Poanes melane,Poanes melane,,,K. Dexter,,Hesp,,,
BN002948,InQueue,unassigned,good,11/15/2017,LEP 53278,Nymphalidae,Charaxinae,Preponini,,Archaeoprepona,amphimachus,,Thorax,0.422,84.4,Archaeoprepona amphimachus,Archaeoprepona amphimachus,,,K. Dexter,,,,1,2 genes
BN005341,,,good,7/31/2018,LEP-47535,Papilionidae,Papilioninae,,,Heraclides,cresphontes,,Abdomen Soak,0.446,89.2,Heraclides cresphontes,Heraclides cresphontes,,,K. Dexter,,,,,2 genes
BN005351,,,good,8/2/2018,LEP-53243,Riodinidae,Riodininae,,,Emesis,russula,,Abdomen Soak,0.449,89.8,Emesis russula,Emesis russula,,,K. Dexter,,,,,
BN005374,,,good,8/2/2018,LEP-53212,Papilionidae,Papilioninae,Papilionini,,Pterourus,scamander,,Abdomen Soak,0.453,90.6,Pterourus scamander,Pterourus scamander,,,K. Dexter,,,,,2 genes
BN005324,,,good,7/31/2018,LEP-53101,Nymphalidae,Satyrinae,Satyrini,,Taygetis,laches,,Abdomen Soak,0.46,92,Taygetis laches,Taygetis laches,,,K. Dexter,,,,,5 genes
BN005371,,13,good,8/2/2018,LEP-53736,Hesperiidae,Heteropterinae,,Carterocephalus group,Piruna,ceracates,,Abdomen Soak,0.462,92.4,Piruna ceracates,Piruna ceracates,,,K. Dexter,,Hesp,,,
BN005343,,,good,7/31/2018,LEP-47473,Nymphalidae,Libytheinae,,,Libthea,narina,,Abdomen Soak,0.499,99.8,Libthea narina,Libythea narina,,,K. Dexter,,,,,
BN005208,,,good,,YI-17-V056,Lycaenidae,Theclinae,Cheritrini,Cheritra,Ahmetia,achaja,achaja,,,,Ahmetia achaja,Ahmetia achaja,,,CCNY,CCNY,,,,
BN005209,,,good,,YI-17-V044,Lycaenidae,Poritiinae,Poritiini,,Deramas,jasoda,jasoda,,,,Deramas jasoda,Deramas jasoda,,,CCNY,CCNY,,,,
BN005210,,450,good,,YI-16-P117,Lycaenidae,Polyommatinae,Niphandini,,Niphanda,tessellata,tessellata,,,,Niphanda tessellata,Niphanda tessellata,,,CCNY,CCNY,,X,,
BN005211,,,good,,YI-16-P121,Lycaenidae,Theclinae,Amblypodiini,,Iraota,timoleon,timoleon,,,,Iraota timoleon,Iraota timoleon,,,CCNY,CCNY,,,,
BN005212,,450,good,,YI-17-V076,Lycaenidae,Theclinae,Remelanini,,Pseudotajuria,donatana,arooni,,,,Pseudotajuria donatana,Pseudotajuria donatana,,,CCNY,CCNY,,X,,
BN005213,,450,good,,YI-17-V265,Lycaenidae,Theclinae,Iolaini,Iolaus,Charana,mandarinus,splendens,,,,Charana mandarinus,Charana mandarinus,,,CCNY,CCNY,,X,,1 gene
BN005214,,,good,,YI-17-V165,Nymphalidae,Limenitidinae,Neptini,,Neptis,nashona,aagaardi,,,,Neptis nashona,Neptis nashona,,,CCNY,CCNY,,,,
BN005215,,,good,,YI-17-V379,Nymphalidae,Limenitidinae,Neptini,,Pantoporia,dindinga,,,,,Pantoporia dindinga,Neptis nashona,,,CCNY,CCNY,,,,
BN005216,,450,good,,YI-17-V332,Lycaenidae,Theclinae,Iolaini,Iolaus,Jacoona,anasuja,anasuja,,,,Jacoona anasuja,Jacoona anasuja,,,CCNY,CCNY,,X,,
BN005303,,,good,7/31/2018,LEP-53194,Riodinidae,Riodininae,Mesosemiini,,Mesosemia,odice,,Abdomen Soak,<0.010,,Mesosemia odice,Mesosemia odice,,,K. Dexter,,,,,
BN005490,,,good,,YI-18-U066,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,alesia,sacharja,,,,Arhopala alesia,Arhopala alesia,,,CCNY,CCNY,,,,
BN005491,,,good,,YI-18-U152,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,milleri,,,,,Arhopala milleri,Arhopala milleri,,,CCNY,CCNY,,,,
BN005492,,,good,,YI-18-U079,Nymphalidae,Nymphalinae,Kallimini,,Kallima,alicia,kishii,,,,Kallima alicia,Kallima alicia,,,CCNY,CCNY,,,,
BN005493,,,good,,YI-18-U075,Nymphalidae,Nymphalinae,Kallimini,,Kallima,knyvettii,,,,,Kallima knyvettii,Kallima knyvettii,,,CCNY,CCNY,,,,
BN005494,,,good,,YI-18-U080,Nymphalidae,Satyrinae,Satryini,,Lethe,latiaris,perimele,,,,Lethe latiaris,Lethe latiaris,,,CCNY,CCNY,,,,
BN005495,,,good,,YI-18-U154,Nymphalidae,Limenitidinae,Neptini,,Neptis,manasa,mientrunga,,,,Neptis manasa,Neptis manasa,,,CCNY,CCNY,,,,
BN005496,,,good,,YI-18-U023,Nymphalidae,Limenitidinae,Neptini,,Neptis,pseudovikasi,,,,,Neptis pseudovikasi,Neptis pseudovikasi,,,CCNY,CCNY,,,,
BN005497,,,good,,YI-18-U092,Nymphalidae,Limenitidinae,Limenitidini,,Parasarpa,zulema,,,,,Parasarpa zulema,Parasarpa zulema,,,CCNY,CCNY,,,,
BN005498,,450,good,,YI-18-U028,Hesperiidae,Hesperiinae,,,Scobura,cephala,,,,,Scobura cephala,Scobura cephala,,,CCNY,CCNY,Hesp,X,,
BN005499,,13,good,,YI-18-U109,Hesperiidae,Pyrginae,Tagiadini,,Seseria,sambara,indosinica,,,,Seseria sambara,Seseria sambara,,,CCNY,CCNY,Hesp,,,
BN005500,,,good,,AC-18-A003,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,delta,,,,,Arhopala delta,Arhopala delta,,,CCNY,CCNY,,,,
BN005501,,,good,,AC-18-A002,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,baluensis,,,,,Arhopala baluensis,Arhopala baluensis,,,CCNY,CCNY,,,,
BN005502,,,good,,AC-18-A001,Lycaenidae,Theclinae,Arhopalini,Arhopala,Arhopala,asopia,,,,,Arhopala asopia,Arhopala asopia,,,CCNY,CCNY,,,,
BN000001,sequenced,13,good,5/20/2016,LEP 22281,Hedylidae,,,,Macrosoma,albida,,"Head, Thorax, Legs",0.278,55.6,Macrosoma albida,Macrosoma albida,7/10/2017,,K.Dexter,,Hedy,,,
BN000002,unsequenceable,NA,bad,6/22/2016,GB-Hedy-024,Hedylidae,,,,Macrosoma,albida,,Legs,<0.010,,Macrosoma albida,Macrosoma albida,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000003,sequenced,13,good,4/12/2017,LEP 49969,Hedylidae,,,,Macrosoma,albifascia,,Abdomen,0.109,21.8,Macrosoma albifascia,Macrosoma albifascia,7/10/2017,,K.Dexter,,Hedy,,,
BN000004,sequenced,13,good,4/12/2017,LEP 49978,Hedylidae,,,,Macrosoma,albimacula,,Abdomen,0.0683,13.7,Macrosoma albimacula,Macrosoma albimacula,7/10/2017,,K.Dexter,,Hedy,,,
BN000005,sequenced,13,good,4/12/2017,LEP 49976,Hedylidae,,,,Macrosoma,amaculata,,Abdomen,0.163,32.6,Macrosoma amaculata,Macrosoma amaculata,7/10/2017,,K.Dexter,,Hedy,,,
BN000006,unsequenceable,NA,bad,6/22/2016,GB-Hedy-030,Hedylidae,,,,Macrosoma,bahiata,,Legs,<0.010,,Macrosoma bahiata,Macrosoma bahiata,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000007,unsequenceable,NA,bad,3/27/2017,GB47,Hedylidae,,,,Macrosoma,bahiata,,abdomen,<0.010,,Macrosoma bahiata,Macrosoma bahiata,--,--,R. St Laurent/K. Dexter,Gunnar Brehm,--,,,
BN000008,sequenced,13,good,4/12/2017,LEP 49974,Hedylidae,,,,Macrosoma,bahiata,,Abdomen,0.216,43.2,Macrosoma bahiata,Macrosoma bahiata,7/10/2017,,K.Dexter,,Hedy,,,
BN000009,sequenced,13,good,4/12/2017,LEP 49968,Hedylidae,,,,Macrosoma,cascarina,,Abdomen,0.314,62.8,Macrosoma cascarina,Macrosoma cascaria,7/10/2017,,K.Dexter,,Hedy,,,
BN000010,duplicate,NA,good,2/17/2016,LEP 22263,Hedylidae,,,,Macrosoma,conifera,,,0.28,56,Macrosoma conifera,Macrosoma conifera,,,V. Ficarrotta,,,,,
BN000011,unsequenceable,NA,bad,6/22/2016,GB-Hedy-022,Hedylidae,,,,Macrosoma,conifera,,Legs,<0.010,,Macrosoma conifera,Macrosoma conifera,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000012,sequenced,13,good,3/27/2017,GB42,Hedylidae,,,,Macrosoma,conifera,,abdomen,0.428,85.6,Macrosoma conifera,Macrosoma conifera,7/10/2017,,R. St Laurent/K. Dexter,Gunnar Brehm,Hedy,,,
BN000013,duplicate,NA,good,2/17/2016,LEP 22574,Hedylidae,,,,Macrosoma,conifera?,,,0.381,76.2,Macrosoma conifera?,Macrosoma sp,--,--,V. Ficarrotta,,--,,,
BN000014,duplicate,NA,good,2/17/2016,LEP 22306,Hedylidae,,,,Macrosoma,conifera?,,,0.487,97.4,Macrosoma conifera?,Macrosoma sp,--,--,V. Ficarrotta,,--,,,
BN000015,duplicate,NA,good,2/17/2016,LEP 22563,Hedylidae,,,,Macrosoma,conifera?,,,0.74,148,Macrosoma conifera?,Macrosoma sp,--,--,V. Ficarrotta,,--,,,
BN000016,unsequenceable,NA,bad,6/22/2016,GB-Hedy-032,Hedylidae,,,,Macrosoma,conifera?,,Legs,<0.010,,Macrosoma conifera?,Macrosoma sp,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000017,unsequenceable,NA,bad,6/22/2016,GB-Hedy-025,Hedylidae,,,,Macrosoma,coscoja,,Legs,<0.010,,Macrosoma coscoja,Macrosoma coscoja,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000018,sequenced,13,good,10/15/2016,LEP 30163,Hedylidae,,,,Macrosoma,coscoja,,Abdomen,0.135,27,Macrosoma coscoja,Macrosoma coscoja,7/10/2017,,K.Dexter,,Hedy,,,
BN000019,duplicate,NA,good,3/27/2017,GB39,Hedylidae,,,,Macrosoma,coscoja,,abdomen,0.0975,19.5,Macrosoma coscoja,Macrosoma coscoja,--,--,R. St Laurent/K. Dexter,Gunnar Brehm,--,,,
BN000020,sequenced,13,good,10/15/2016,LEP 30249,Hedylidae,,,,Macrosoma,costilunata,,Abdomen,0.243,48.6,Macrosoma costilunata,Macrosoma costilunata,7/10/2017,,K.Dexter,,Hedy,,,
BN000021,unsequenceable,unassigned,bad,6/22/2016,MPUJ_ENT 0041279,Hedylidae,,,,Macrosoma,hedylaria,,Legs,<0.010,,Macrosoma hedylaria,Macrosoma hedylaria,--,--,K.Dexter,Sergio Vargas,,,,
BN000022,duplicate,unassigned,low,4/12/2017,LEP 49967,Hedylidae,,,,Macrosoma,hedylaria,,Abdomen,0.0151,3.02,Macrosoma hedylaria,Macrosoma hedylaria,--,--,K.Dexter,,--,,,FG120122 transcriptome
BN000023,duplicate,unassigned,good,2/27/2016,LEP 22564,Hedylidae,,,,Macrosoma,hedylaria?,,,0.238,47.6,Macrosoma hedylaria?,Macrosoma sp,--,--,V. Ficarrotta,,--,,,
BN000024,duplicate,NA,good,2/19/2016,LEP 28868,Hedylidae,,,,Macrosoma,heliconiaria,,,0.0391,7.82,Macrosoma heliconiaria,Macrosoma heliconiaria,--,--,Kayla,,--,,,
BN000025,unsequenceable,unassigned,bad,6/22/2016,GB-Hedy-018,Hedylidae,,,,Macrosoma,heliconiaria,,Legs,<0.010,,Macrosoma heliconiaria,Macrosoma heliconiaria,--,--,K.Dexter,Gunnar Brehm,--,,,
BN000026,duplicate,NA,good,10/15/2016,LEP 30488,Hedylidae,,,,Macrosoma,heliconiaria,,Abdomen,0.0247,4.94,Macrosoma heliconiaria,Macrosoma heliconiaria,--,--,K.Dexter,,--,,,
