SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DelevieredTo,DelevieredToDate,RAPiD_SampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPID_RowSort,RAPID_ColumnSort,RAPID_UniqueClientCode
YES,YES,YES,,,,FMN_456206_P03_WF02,BN000191,good,13,1/16/2017,FH-16-Y031,Hesperiidae,Coeliadinae,,,Burara,jaina,formosana,Thorax,0.171,34.2,Burara jaina,Burara jaina,7/10/2017,K.Dexter,D. Lohman,Hesp,,254,206,FH16Y031
YES,YES,YES,,,,FMN_456206_P03_WH08,BN000187,good,13,4/3/2017,PH-17-E004,Hesperiidae,Coeliadinae,,,Burara,gomata,lorquini,Abdomen,0.411,82.2,Burara gomata,Burara gomata,7/10/2017,K. Dexter,David Lohman,Hesp,,284,256,PH17E004
YES,YES,YES,,,,FMN_456206_P03_WD07,BN000257,good,13,12/28/2016,DL-13-F008,Hesperiidae,Coeliadinae,,,Choaspes,adhara,negrosa,Thorax,0.112,22.4,Choaspes adhara,Choaspes adhara,7/10/2017,K.Dexter,D. Lohman,Hesp,,235,244,DL13F008
YES,YES,YES,,,,FMN_456206_P03_WG11,BN000259,good,13,5/31/2017,HD-17-F204,Hesperiidae,Coeliadinae,,,Choaspes,plateni,,Thorax,0.377,75.4,Choaspes plateni,Choaspes plateni,7/10/2017,K. Dexter,D. Lohman,Hesp,,275,279,HD17F204
YES,YES,YES,,,,FMN_456206_P02_WF06,BN000267,good,13,1/16/2017,BN-SZS-00231,Hesperiidae,Coeliadinae,,,Coeliades,chalybe,,Thorax,0.0541,10.8,Coeliades chalybe,Coeliades chalybe,7/10/2017,K.Dexter,M. Espeland,Hesp,,162,142,BNSZS00231
YES,YES,YES,,,,FMN_456206_P03_WD06,BN000271,good,13,1/16/2017,BN-SZS-00393,Hesperiidae,Coeliadinae,,,Coeliades,libeon,,Thorax,0.112,22.4,Coeliades libeon,Coeliades libeon,7/10/2017,K.Dexter,M. Espeland,Hesp,,234,236,BNSZS00393
YES,YES,YES,,,,FMN_456206_P03_WG10,BN000268,good,13,1/16/2017,BN-SZS-00376,Hesperiidae,Coeliadinae,,,Coeliades,ernesti,,Thorax,0.347,69.4,Coeliades ernesti,Coeliades ernesti,7/10/2017,K.Dexter,M. Espeland,Hesp,,274,271,BNSZS00376
YES,YES,YES,,,,FMN_456206_P01_WB10,BN000396,good,13,9/28/2016,MY-2016-HES-51,Hesperiidae,Coeliadinae,,,Hasora,taminatus,malayana,Legs,0.0758,15.2,Hasora taminatus,Hasora taminatus,1/12/2017,K.Dexter,Yago,Hesp,,22,74,MY2016HES51
YES,YES,YES,,,,FMN_456206_P01_WC06,BN000397,good,13,9/28/2016,MY-2016-HES-44,Hesperiidae,Coeliadinae,,,Hasora,vitta,vitta,Legs,0.102,20.4,Hasora vitta,Hasora vitta,1/12/2017,K.Dexter,Yago,Hesp,,30,43,MY2016HES44
YES,YES,YES,,,,FMN_456206_P01_WE03,BN000390,good,13,9/28/2016,MY-2016-HES-72,Hesperiidae,Coeliadinae,,,Hasora,danda,,Thorax,0.619,124,Hasora danda,Hasora danda,1/12/2017,K.Dexter,Yago,Hesp,,51,21,MY2016HES72
YES,YES,YES,,,,FMN_456206_P01_WG06,BN000395,good,13,9/28/2016,MY-2016-HES-33,Hesperiidae,Coeliadinae,,,Hasora,schoenherri,chuza,Thorax,0.731,146,Hasora schoenherri,Hasora schoenherr,1/12/2017,K.Dexter,Yago,Hesp,,78,47,MY2016HES33
YES,YES,YES,,,,FMN_456206_P01_WH11,BN000388,good,13,8/19/2016,LEP 37059 (30a Indo),Hesperiidae,Coeliadinae,,,Hasora,borneensis,borneensis,Thorax,0.871,174,Hasora borneensis,Hasora borneensis,1/12/2017,K.Dexter,,Hesp,,95,88,LEP37059Indo30a
YES,YES,YES,,,,FMN_456206_P03_WC10,BN000391,good,13,,97,Hesperiidae,Coeliadinae,,,Hasora,khoda,,,0.104,20.8,Hasora khoda,Hasora khoda,7/10/2017,Andy Warren,Andy Warren,Hesp,,226,267,97
YES,YES,YES,,,,FMN_456206_P03_WE12,BN000392,good,13,3/21/2017,LEP 47480,Hesperiidae,Coeliadinae,,,Hasora,leucospila,leucospila,Thorax,0.16,32,Hasora leucospila,Hasora leucospila,7/10/2017,K.Dexter,,Hesp,,252,285,LEP47480
YES,YES,YES,,,,FMN_456206_P03_WH10,BN000699,good,13,4/3/2017,RVcoll14U269,Hesperiidae,Coeliadinae,,,Pyrrhiades,anchises,,Thorax,0.426,85.2,Pyrrhiades anchises,Pyrrhiades anchises,7/10/2017,K. Dexter,Roger Villa,Hesp,,286,272,RVcoll14U269
YES,YES,YES,,,,FMN_456206_P02_WH02,BN000151,good,13,,532,Hesperiidae,Eudaminae,,,Astraptes,enotrus,,,0.0713,14.3,Astraptes enotrus,Astraptes enotrus,7/10/2017,Andy Warren,Andy Warren,Hesp,,182,112,532
YES,YES,YES,,,,FMN_456206_P02_WC05,BN000161,low,13,,202,Hesperiidae,Eudaminae,,,Autochton,zarex,,,0.0114,2.28,Autochton zarex,Autochton zarex,7/10/2017,Andy Warren,Andy Warren,Hesp,,125,131,202
YES,YES,YES,,,,FMN_456206_P02_WF09,BN000265,good,13,,187,Hesperiidae,Eudaminae,,,Codatractus,melon,,,0.0555,11.1,Codatractus melon,Codatractus melon,7/10/2017,Andy Warren,Andy Warren,Hesp,,165,166,187
YES,YES,YES,,,,FMN_456206_P02_WD05,BN000272,good,13,,159,Hesperiidae,Eudaminae,,,Cogia,cajeta,eluina,,0.0283,5.66,Cogia cajeta,Cogia cajeta,7/10/2017,Andy Warren,Andy Warren,Hesp,,137,132,159
YES,YES,YES,,,,FMN_456206_P02_WF01,BN000273,good,13,,78,Hesperiidae,Eudaminae,,,Cogia,calchas,,,0.0511,10.2,Cogia calchas,Cogia calchas,7/10/2017,Andy Warren,Andy Warren,Hesp,,157,102,78
YES,YES,YES,,,,FMN_456206_P01_WF10,BN000823,good,13,12/2/2016,LEP 31595,Hesperiidae,Eudaminae,,,Thorybes,mexicana,,Thorax,0.335,67,Thorybes mexicana,Thorybes mexicana,1/12/2017,K.Dexter,,Hesp,,70,78,LEP31595
YES,YES,YES,,,,FMN_456206_P01_WG09,BN000824,good,13,12/2/2016,LEP 21688,Hesperiidae,Eudaminae,,,Thorybes,pylades,,Thorax,0.424,84.8,Thorybes pylades,Thorybes pylades,1/12/2017,K.Dexter,,Hesp,,81,71,LEP21688
YES,YES,YES,,,,FMN_456206_P03_WG02,BN000821,good,13,4/12/2017,LEP 49279,Hesperiidae,Eudaminae,,,Thorybes,bathyllus,,Thorax,0.294,58.8,Thorybes bathyllus,Thorybes bathyllus,7/10/2017,K. Dexter,,Hesp,X,266,207,LEP49279
YES,YES,YES,,,,FMN_456206_P01_WB02,BN000863,good,13,12/2/2016,LEP 28878,Hesperiidae,Eudaminae,,,Urbanus,procne,,Thorax,0.0513,10.3,Urbanus procne,Urbanus procne,1/12/2017,K.Dexter,,Hesp,,14,10,LEP28878
YES,YES,YES,,,,FMN_456206_P01_WD01,BN000859,good,13,12/2/2016,LEP 41648,Hesperiidae,Eudaminae,,,Urbanus,dorantes,,Thorax,0.646,129,Urbanus dorantes,Urbanus dorantes,1/12/2017,K.Dexter,,Hesp,,37,4,LEP41648
YES,YES,YES,,,,FMN_456206_P01_WD09,BN000860,good,13,12/2/2016,LEP 30403,Hesperiidae,Eudaminae,,,Urbanus,elmina,,Thorax,0.539,108,Urbanus elmina,Urbanus elmina,1/12/2017,K.Dexter,,Hesp,,45,68,LEP30403
YES,YES,YES,,,,FMN_456206_P01_WG07,BN000858,good,13,12/2/2016,LEP 41551,Hesperiidae,Eudaminae,,,Urbanus,albimargo,,Thorax,0.914,183,Urbanus albimargo,Urbanus albimargo,1/12/2017,K.Dexter,,Hesp,,79,55,LEP41551
YES,YES,YES,,,,FMN_456206_P03_WG07,BN000866,good,13,3/21/2017,LEP 41804,Hesperiidae,Eudaminae,,,Urbanus,simplicius,,Thorax,0.342,68.4,Urbanus simplicius,Urbanus simplicius,7/10/2017,K.Dexter,,Hesp,,271,247,LEP41804
YES,YES,YES,,,,FMN_456206_P02_WE10,BN000378,good,13,1/16/2017,YI-16-P079,Hesperiidae,Hesperiinae,Aeromachini,,Halpe,hauxwelli,,Thorax,0.0501,10,Halpe hauxwelli,Halpe hauxwelli,7/10/2017,K.Dexter,D. Lohman,Hesp,,154,173,YI16P079
YES,YES,YES,,,,FMN_456206_P03_WA02,BN000380,good,13,12/28/2016,DL-16-V105,Hesperiidae,Hesperiinae,Aeromachini,,Halpe,pelethronix?,,Thorax,0.0775,15.5,Halpe pelethronix?,Halpe NRpelethronix,7/10/2017,K.Dexter,D. Lohman,Hesp,,194,201,DL16V105
YES,YES,YES,,,,FMN_456206_P03_WB01,BN000384,good,13,12/28/2016,DL-16-V277,Hesperiidae,Hesperiinae,Aeromachini,,Halpe,zema or zelo?,,Thorax,0.0833,16.7,Halpe zema or zelo?,Halpe NRzemaNRzelo,7/10/2017,K.Dexter,D. Lohman,Hesp,,205,194,DL16V277
YES,YES,YES,,,,FMN_456206_P03_WD05,BN000383,good,13,12/28/2016,DL-16-V210,Hesperiidae,Hesperiinae,Aeromachini,,Halpe,wantona?,,Thorax,0.111,22.2,Halpe wantona?,Halpe NRwantona,7/10/2017,K.Dexter,D. Lohman,Hesp,,233,228,DL16V210
YES,YES,YES,,,,FMN_456206_P03_WE05,BN000379,good,13,12/28/2016,DL-16-V033,Hesperiidae,Hesperiinae,Aeromachini,,Halpe,kusala?,,Thorax,0.127,25.4,Halpe kusala?,Halpe NRkusala,7/10/2017,K.Dexter,D. Lohman,Hesp,,245,229,DL16V033
YES,YES,YES,,,,FMN_456206_P02_WH03,BN000107,good,13,4/12/2017,LEP 48132,Hesperiidae,Hesperiinae,Ampittiini,,Ampittia,dioscorides,,Thorax,0.0713,14.3,Ampittia dioscorides,Ampittia dioscorides,7/10/2017,K. Dexter,Chiba,Hesp,,183,120,LEP48132
YES,YES,YES,,,,FMN_456206_P03_WH03,BN000106,good,13,4/3/2017,Rvcoll11K978,Hesperiidae,Hesperiinae,Ampittiini,,Ampittia,capenas,,Thorax,0.397,79.4,Ampittia capenas,Ampittia capenas,7/10/2017,K. Dexter,Roger Villa,Hesp,,279,216,Rvcoll11K978
YES,YES,YES,,,,FMN_456206_P01_WD07,BN000533,good,13,10/17/2016,MY-2016-17,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,curvifascia,curvifascia,Thorax,0.223,44.6,Notocrypta curvifascia,Notocrypta curvifascia,1/12/2017,K.Dexter,Yago,Hesp,X,43,52,MY201617
YES,YES,YES,,,,FMN_456206_P01_WD08,BN000536,good,13,9/28/2016,MY-2016-HES-3,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,paralysos,asawa,Thorax,0.229,45.8,Notocrypta paralysos,Notocrypta paralysos,1/12/2017,K.Dexter,Yago,Hesp,,44,60,MY2016HES3
YES,YES,YES,,,,FMN_456206_P01_WE08,BN000530,good,13,9/28/2016,MY-2016-HES-29,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,clavata,theba,Thorax,0.52,104,Notocrypta clavata,Notocrypta clavata,1/12/2017,K.Dexter,Yago,Hesp,,56,61,MY2016HES29
YES,YES,YES,,,,FMN_456206_P02_WH09,BN000537,good,13,1/16/2017,EI-16-D409,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,waigensis,proserpina,Thorax,0.0752,15,Notocrypta waigensis,Notocrypta waigensis,7/10/2017,K.Dexter,D. Lohman,Hesp,,189,168,EI16D409
YES,YES,YES,,,,FMN_456206_P03_WF07,BN000534,good,13,12/28/2016,DL-12-E136,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,feisthamelii,alinkara,Thorax,0.211,42.2,Notocrypta feisthamelii,Notocrypta feisthamelii,7/10/2017,K.Dexter,D. Lohman,Hesp,,259,246,DL12E136
YES,YES,YES,,,,FMN_456206_P01_WF04,BN000129,good,13,9/28/2016,LEP 32047,Hesperiidae,Hesperiinae,Anthoptini,,Anthoptus,epictetus,,Thorax,0.538,108,Anthoptus epictetus,Anthoptus epictetus,1/12/2017,K.Dexter,,Hesp,X,64,30,LEP32047
YES,YES,YES,,,,FMN_456206_P03_WC06,BN000176,good,13,1/16/2017,BN-SZS-00399,Hesperiidae,Hesperiinae,Baoridini,,Borbo,fatuellus,,Thorax,0.102,20.4,Borbo fatuellus,Borbo fatuellus,7/10/2017,K.Dexter,M. Espeland,Hesp,,222,235,BNSZS00399
YES,YES,YES,,,,FMN_456206_P03_WD08,BN000173,good,13,4/3/2017,Rvcoll11K744,Hesperiidae,Hesperiinae,Baoridini,,Borbo,detecta,,Thorax,0.112,22.4,Borbo detecta,Borbo detecta,7/10/2017,K. Dexter,Roger Villa,Hesp,,236,252,Rvcoll11K744
YES,YES,YES,,,,FMN_456206_P03_WD11,BN000175,good,13,4/3/2017,Rvcoll11K860,Hesperiidae,Hesperiinae,Baoridini,,Borbo,fanta,,Thorax,0.114,22.8,Borbo fanta,Borbo fanta,7/10/2017,K. Dexter,Roger Villa,Hesp,,239,276,Rvcoll11K860
YES,YES,YES,,,,FMN_456206_P03_WE03,BN000180,good,13,4/3/2017,Rvcoll11K863,Hesperiidae,Hesperiinae,Baoridini,,Borbo,sirena,,Thorax,0.122,24.4,Borbo sirena,Borbo sirena,7/10/2017,K. Dexter,Roger Villa,Hesp,,243,213,Rvcoll11K863
YES,YES,YES,,,,FMN_456206_P03_WE09,BN000178,good,13,4/3/2017,Rvcoll11K399,Hesperiidae,Hesperiinae,Baoridini,,Borbo,holtzi,,Thorax,0.145,29,Borbo holtzi,Borbo holtzi,7/10/2017,K. Dexter,Roger Villa,Hesp,,249,261,Rvcoll11K399
YES,YES,YES,,,,FMN_456206_P03_WG05,BN000179,good,13,4/3/2017,Rvcoll11K862,Hesperiidae,Hesperiinae,Baoridini,,Borbo,perobscura,,Thorax,0.33,66,Borbo perobscura,Borbo perobscura,7/10/2017,K. Dexter,Roger Villa,Hesp,,269,231,Rvcoll11K862
YES,YES,YES,,,,FMN_456206_P03_WH01,BN000174,good,13,4/3/2017,Rvcoll11K747,Hesperiidae,Hesperiinae,Baoridini,,Borbo,fallax,,Thorax,0.389,77.8,Borbo fallax,Borbo fallax,7/10/2017,K. Dexter,Roger Villa,Hesp,,277,200,Rvcoll11K747
YES,YES,YES,,,,FMN_456206_P03_WH12,BN000177,good,13,4/3/2017,Rvcoll14T412,Hesperiidae,Hesperiinae,Baoridini,,Borbo,gemella,,Thorax,0.441,88.2,Borbo gemella,Borbo gemella,7/10/2017,K. Dexter,Roger Villa,Hesp,,288,288,Rvcoll14T412
YES,YES,YES,,,,FMN_456206_P03_WC09,BN000365,good,13,4/3/2017,Rvcoll11K791,Hesperiidae,Hesperiinae,Baoridini,,Gegenes,niso,,Thorax,0.103,20.6,Gegenes niso,Gegenes niso,7/10/2017,K. Dexter,Roger Villa,Hesp,,225,259,Rvcoll11K791
YES,YES,YES,,,,FMN_456206_P03_WG08,BN000367,good,13,4/3/2017,RVcoll06A312,Hesperiidae,Hesperiinae,Baoridini,,Gegenes,nostrodamus,,Thorax,0.344,68.8,Gegenes nostrodamus,Gegenes nostrodamus,7/10/2017,K. Dexter,Roger Villa,Hesp,,272,255,RVcoll06A312
YES,YES,YES,,,,FMN_456206_P03_WG09,BN000364,good,13,4/3/2017,RVcoll11K753,Hesperiidae,Hesperiinae,Baoridini,,Gegenes,hottentota,,Thorax,0.345,69,Gegenes hottentota,Gegenes hottentota,7/10/2017,K. Dexter,Roger Villa,Hesp,,273,263,RVcoll11K753
YES,YES,YES,,,,FMN_456206_P02_WH08,BN000449,good,13,1/16/2017,YI-16-P216,Hesperiidae,Hesperiinae,Baoridini,,Iton,watsonii,,Thorax,0.0743,14.9,Iton watsonii,Iton watsonii,7/10/2017,K.Dexter,D. Lohman,Hesp,,188,160,YI16P216
YES,YES,YES,,,,FMN_456206_P01_WA11,BN000591,good,13,10/17/2016,MY-2016-20,Hesperiidae,Hesperiinae,Baoridini,,Parnara,ogasawarensis,,Legs,0.0486,9.72,Parnara ogasawarensis,Parnara ogasawarensis,1/12/2017,K.Dexter,Yago,Hesp,,11,81,MY201620
YES,YES,YES,,,,FMN_456206_P01_WD12,BN000588,good,13,11/17/2016,LEP 40454,Hesperiidae,Hesperiinae,Baoridini,,Parnara,guttatus,,Thorax,0.0451,9.02,Parnara guttatus,Parnara guttatus,1/12/2017,K.Dexter,,Hesp,X,48,92,LEP40454
YES,YES,YES,,,,FMN_456206_P01_WF01,BN000585,good,13,9/28/2016,MY-2016-HES-30,Hesperiidae,Hesperiinae,Baoridini,,Parnara,bada,bada,Thorax,0.663,133,Parnara bada,Parnara bada,1/12/2017,K.Dexter,Yago,Hesp,,61,6,MY2016HES30
YES,YES,YES,,,,FMN_456206_P02_WG01,BN000590,good,13,4/12/2017,Rvcoll14T885,Hesperiidae,Hesperiinae,Baoridini,,Parnara,monasi,,Thorax,0.0591,11.8,Parnara monasi,Parnara monasi,7/10/2017,K. Dexter,Roger Vila,Hesp,,169,103,Rvcoll14T885
YES,YES,YES,,,,FMN_456206_P01_WF09,BN000648,good,13,10/17/2016,MY-2016-22,Hesperiidae,Hesperiinae,Baoridini,,Polytremis,pellucida,pellucida,Thorax,0.331,66.2,Polytremis pellucida,Polytremis pellucida,1/12/2017,K.Dexter,Yago,Hesp,,69,70,MY201622
YES,YES,YES,,,,FMN_456206_P03_WB07,BN000898,good,13,4/12/2017,Rvcoll11K904,Hesperiidae,Hesperiinae,Baoridini,,Zenonia,anax,,Thorax,0.089,17.8,Zenonia anax,Zenonia anax,7/10/2017,K. Dexter,Roger Vila,Hesp,,211,242,Rvcoll11K904
YES,YES,YES,,,,FMN_456206_P02_WG03,BN000571,good,13,,506,Hesperiidae,Hesperiinae,Carystini,,Panoquina,hecebolus,,,0.0622,12.4,Panoquina hecebolus,Panoquina hecebolus,7/10/2017,Andy Warren,Andy Warren,Hesp,,171,119,506
