SamplesSubmitted,SequencesReceived,SequencesProcessed,LociRecoverd,DeliveredTo,DeliveredToDate,RAPiDSampleCode,BNet_UI,DNA_Yield,ProbeKit,Date_Extracted,ID,Family,Subfamily,Tribe,Section,Genus,Species,Subspecies,Tissue,QubitAssayConcentration,QubitStockConcentration,FullName,ValidName,DateSentToRapid,ExtractedBy,Contributor,ProjectCode,Type,RAPIDRowSort,RAPIDColumnSort,RAPIDUniqueClientCode,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA11,BN000719,good,450,9/28/16,MY-2016-HES-57,Hesperiidae,Hesperiinae,Erionotini,,Salanoemia,sala,,Legs,0.0639,12.8,Salanoemia sala,Salanoemia sala,12/13/16,K.Dexter,Yago,Hesp,X,11,81,BN000719,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WA12,BN000389,good,450,9/28/16,MY-2016-HES-78,Hesperiidae,Coeliadinae,,,Hasora,chromus,chromus,Legs,0.0744,14.9,Hasora chromus,Hasora chromus,12/13/16,K.Dexter,Yago,Hesp,,12,89,BN000389,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB01,BN000102,good,450,11/17/16,LEP 40105,Hesperiidae,Hesperiinae,Moncini,,Amblyscirtes,eos,,Thorax,0.0752,15,Amblyscirtes eos,Amblyscirtes eos,12/13/16,K.Dexter,,Hesp,,13,2,BN000102,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB02,BN000695,good,450,9/28/16,MY-2016-HES-55,Hesperiidae,Hesperiinae,Erionotini,,Pyroneura,derna,,Legs,0.0815,16.3,Pyroneura derna,Pyroneura derna,12/13/16,K.Dexter,Yago,Hesp,,14,10,BN000695,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB03,BN000617,good,450,9/28/16,MY-2016-HES-39,Hesperiidae,Hesperiinae,Erionotini,,Pirdana,hyela,rudolphii,Legs,0.0834,16.7,Pirdana hyela,Pirdana hyela,12/13/16,K.Dexter,Yago,Hesp,X,15,18,BN000617,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB04,BN000531,good,450,9/28/16,MY-2016-HES-36,Hesperiidae,Hesperiinae,Ancistroidini,,Notocrypta,curvifascia,corinda,Legs,0.0858,17.2,Notocrypta curvifascia,Notocrypta curvifascia,12/13/16,K.Dexter,Yago,Hesp,X,16,26,BN000531,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB05,BN000428,good,450,9/28/16,MY-2016-HES-58,Hesperiidae,Hesperiinae,Erionotini,,Hidari,bhawani,,Legs,0.0885,17.7,Hidari bhawani,Hidari bhawani,12/13/16,K.Dexter,Yago,Hesp,,17,34,BN000428,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB06,BN000857,good,450,9/28/16,MY-2016-HES-27,Hesperiidae,Hesperiinae,Erionotini,,Unkana,ambasa,batara,Legs,0.119,23.8,Unkana ambasa,Unkana ambasa,12/13/16,K.Dexter,Yago,Hesp,,18,42,BN000857,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB07,BN000464,good,450,11/17/16,LEP 40000,Hesperiidae,Hesperiinae,Moncini,,Lerodea,eufala,,Thorax,0.122,24.4,Lerodea eufala,Lerodea eufala,12/13/16,K.Dexter,,Hesp,X,19,50,BN000464,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB08,BN000330,good,450,9/28/16,MY-2016-HES-26,Hesperiidae,Hesperiinae,Erionotini,,Erionota,hiraca,apicalis,Legs,0.126,25.2,Erionota hiraca,Erionota hiraca,12/13/16,K.Dexter,Yago,Hesp,,20,58,BN000330,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB09,BN000363,good,450,9/28/16,MY-2016-HES-12,Hesperiidae,Hesperiinae,Erionotini,,Ge,geta,,Thorax,0.427,85.4,Ge geta,Ge geta,12/13/16,K.Dexter,Yago,Hesp,X,21,66,BN000363,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB10,BN000258,good,450,10/17/16,MY-2016-14,Hesperiidae,Coeliadinae,,,Choaspes,benjaminii,japonicus,Legs,0.129,25.8,Choaspes benjaminii,Choaspes benjaminii,12/13/16,K.Dexter,Yago,Hesp,X,22,74,BN000258,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB11,BN000212,good,450,9/28/16,MY-2016-HES-80,Hesperiidae,Pyrginae,Tagiadini,,Capila,phanaeus,phanaeus,Legs,0.13,26,Capila phanaeus,Capila phanaeus,12/13/16,K.Dexter,Yago,Hesp,,23,82,BN000212,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WB12,BN000477,good,450,8/19/16,LEP 26233,Hesperiidae,Megathyminae,Megathymini,,Megathymus,streckeri,leussleri,Legs,0.135,27,Megathymus streckeri,Megathymus streckeri,12/13/16,K.Dexter,,Hesp,,24,90,BN000477,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC01,BN000897,good,450,9/28/16,MY-2016-HES-17,Hesperiidae,Hesperiinae,Erionotini,,Zela,zeus,optimus,Thorax,1.04,208,Zela zeus,Zela zeus,12/13/16,K.Dexter,Yago,Hesp,X,25,3,BN000897,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC02,BN000136,good,450,11/17/16,LEP 36820,Hesperiidae,Hesperiinae,Moncini,,Apaustus,gracilis,,Thorax,0.159,31.8,Apaustus gracilis,Apaustus gracilis,12/13/16,K.Dexter,,Hesp,,26,11,BN000136,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC03,BN000851,good,450,12/2/16,LEP 36832,Hesperiidae,Pyrginae,,,Trina,geometrina,,Thorax,0.159,31.8,Trina geometrina,Trina geometrina,12/13/16,K.Dexter,,Hesp,X,27,19,BN000851,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC04,BN000361,good,450,9/28/16,MY-2016-HES-31,Hesperiidae,Hesperiinae,Erionotini,,Gangara,thyrsis,thyrsis,Legs,0.16,32,Gangara thyrsis,Gangara thyrsis,12/13/16,K.Dexter,Yago,Hesp,X,28,27,BN000361,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC05,BN000595,good,450,11/17/16,LEP 30215,Hesperiidae,Heteropterinae,Moncini,,Parphorus,hesia,,Thorax,0.172,34.4,Parphorus hesia,Parphorus hesia,12/13/16,K.Dexter,,Hesp,,29,35,BN000595,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC06,BN000462,good,450,11/17/16,LEP 36306,Hesperiidae,Heteropterinae,,,Leptalina,unicolor,,Abdomen,0.569,114,Leptalina unicolor,Leptalina unicolor,12/13/16,K.Dexter,,Hesp,X,30,43,BN000462,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC07,BN000171,good,450,9/28/16,MY-2016-HES-41,Hesperiidae,Hesperiinae,Baoridini,,Borbo,cinnara,,Thorax,0.206,41.2,Borbo cinnara,Borbo cinnara,12/13/16,K.Dexter,Yago,Hesp,,31,51,BN000171,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC08,BN000822,good,450,12/2/16,LEP 39973,Hesperiidae,Eudaminae,,,Thorybes,confusis,,Thorax,0.522,104,Thorybes confusis,Thorybes confusis,12/13/16,K.Dexter,,Hesp,,32,59,BN000822,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC09,BN000577,good,450,11/17/16,LEP 39440,Hesperiidae,Hesperiinae,Moncini,,Paracarystus,hypargyra,,Thorax,0.5,100,Paracarystus hypargyra,Paracarystus hypargyra,12/13/16,K.Dexter,,Hesp,X,33,67,BN000577,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC10,BN000711,good,450,9/28/16,MY-2016-HES-76,Hesperiidae,Hesperiinae,Erionotini,,Quedara,monteithi,monteithi,Thorax,0.531,106,Quedara monteithi,Quedara monteithi,12/13/16,K.Dexter,Yago,Hesp,,34,75,BN000711,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC11,BN000441,good,450,9/28/16,MY-2016-HES-7,Hesperiidae,Hesperiinae,Erionotini,,Iambrix,salsala,,Thorax,0.228,45.6,Iambrix salsala,Iambrix salsala,12/13/16,K.Dexter,Yago,Hesp,X,35,83,BN000441,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WC12,BN000304,good,450,11/17/16,LEP 37056,Hesperiidae,Pyrginae,Tagiadini,,Darpa,pteria,dealbata,Thorax,0.24,48,Darpa pteria,Darpa pteria,12/13/16,K.Dexter,,Hesp,,36,91,BN000304,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD01,BN000223,good,450,11/17/16,LEP 36686,Hesperiidae,Heteropterinae,,,Carterocephalus,palaemon,,Thorax,0.548,110,Carterocephalus palaemon,Carterocephalus palaemon,12/13/16,K.Dexter,,Hesp,,37,4,BN000223,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD02,BN000781,good,450,12/2/16,LEP 40102,Hesperiidae,Pyrginae,Pyrgini,,Systasea,zampa,,Thorax,0.242,48.4,Systasea zampa,Systasea zampa,12/13/16,K.Dexter,,Hesp,,38,12,BN000781,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD03,BN000456,good,450,9/28/16,MY-2016-HES-70,Hesperiidae,Hesperiinae,Erionotini,,Koruthaialos,butleri,,Thorax,0.503,101,Koruthaialos butleri,Koruthaialos butleri,12/13/16,K.Dexter,Yago,Hesp,,39,20,BN000456,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD04,BN000652,good,450,12/2/16,LEP 41738,Hesperiidae,Pyrginae,Erynnini,,Potamanaxas,paralus,,Thorax,0.252,50.4,Potamanaxas paralus,Potamanaxas paralus,12/13/16,K.Dexter,,Hesp,,40,28,BN000652,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD05,BN000744,good,450,9/28/16,MY-2016-HES-73,Hesperiidae,Pyrginae,Tagiadini,,Seseria,dohertyi,salex,Thorax,0.74,148,Seseria dohertyi,Seseria dohertyi,12/13/16,K.Dexter,Yago,Hesp,,41,36,BN000744,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD06,BN000448,good,450,9/28/16,MY-2016-HES-64,Hesperiidae,Hesperiinae,Baoridini,,Iton,semamora,semamora,Thorax,0.253,50.6,Iton semamora,Iton semamora,12/13/16,K.Dexter,Yago,Hesp,X,42,44,BN000448,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD07,BN000446,good,450,10/17/16,MY-2016-18,Hesperiidae,Hesperiinae,Erionotini,,Isoteinon,lamprospilus,,Thorax,0.94,188,Isoteinon lamprospilus,Isoteinon lamprospilus,12/13/16,K.Dexter,Yago,Hesp,X,43,52,BN000446,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD08,BN000584,good,450,9/28/16,MY-2016-HES-65,Hesperiidae,Hesperiinae,Baoridini,,Parnara,apostata,apostata,Thorax,0.549,110,Parnara apostata,Parnara apostata,12/13/16,K.Dexter,Yago,Hesp,,44,60,BN000584,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD09,BN000751,good,450,12/2/16,LEP 30335,Hesperiidae,Pyrginae,Erynnini,,Sostrata,grippa,,Thorax,0.26,52,Sostrata grippa,Sostrata grippa,12/13/16,K.Dexter,,Hesp,,45,68,BN000751,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD10,BN000820,good,450,12/2/16,LEP 36684,Hesperiidae,Hesperiinae,Aeromachini,,Thoressa,varia,,Thorax,0.262,52.4,Thoressa varia,Thoressa varia,12/13/16,K.Dexter,,Hesp,,46,76,BN000820,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD11,BN000154,good,450,11/17/16,LEP 40074,Hesperiidae,Hesperiinae,Hesperiini,,Atalopedes,campestris,,Thorax,0.265,53,Atalopedes campestris,Atalopedes campestris,12/13/16,K.Dexter,,Hesp,,47,84,BN000154,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WD12,BN000408,good,450,11/17/16,LEP 40096,Hesperiidae,Pyrginae,Pyrgini,,Heliopyrgus,domicella,,Thorax,0.266,53.2,Heliopyrgus domicella,Heliopyrgus domicella,12/13/16,K.Dexter,,Hesp,,48,92,BN000408,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE01,BN000444,good,450,9/28/16,MY-2016-HES-24,Hesperiidae,Hesperiinae,Erionotini,,Isma,iapis,iapis,Thorax,0.27,54,Isma iapis,Isma protoclea,12/13/16,K.Dexter,Yago,Hesp,,49,5,BN000444,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE02,BN000111,good,450,9/28/16,LEP 28753,Hesperiidae,Hesperiinae,Hesperiini,,Anatrytone,logan,,Thorax,0.575,115,Anatrytone logan,Anatrytone logan,12/13/16,K.Dexter,,Hesp,,50,13,BN000111,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE03,BN000741,good,450,9/28/16,MY-2016-HES-71,Hesperiidae,Hesperiinae,Aeromachini,,Sebastonyma,dolopia,,Thorax,0.599,120,Sebastonyma dolopia,Sebastonyma dolopia,12/13/16,K.Dexter,Yago,Hesp,X,51,21,BN000741,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE04,BN000643,good,450,8/19/16,LEP 28758,Hesperiidae,Hesperiinae,Hesperiini,,Polites,vibex,,Thorax,0.827,165,Polites vibex,Polites vibex,12/13/16,K.Dexter,,Hesp,,52,29,BN000643,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE05,BN000854,good,450,9/28/16,LEP 31676,Hesperiidae,Hesperiinae,Erionotini,,Udaspes,folus,,Thorax,1.56,312,Udaspes folus,Udaspes folus,12/13/16,K.Dexter,,Hesp,X,53,37,BN000854,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE06,BN000348,good,450,6/22/16,LEP 28779,Hesperiidae,Hesperiinae,Hesperiini,,Euphyes,arpa,,Thorax,0.945,189,Euphyes arpa,Euphyes arpa,12/13/16,K.Dexter,,Hesp,,54,45,BN000348,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE07,BN000891,good,450,12/2/16,LEP 30291,Hesperiidae,Pyrginae,Pyrgini,,Xenophanes,tryxus,,Thorax,0.282,56.4,Xenophanes tryxus,Xenophanes tryxus,12/13/16,K.Dexter,,Hesp,X,55,53,BN000891,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE08,BN000255,good,450,11/17/16,LEP 41169,Hesperiidae,Eudaminae,,,Chioides,cf catillus,,Abdomen,0.284,56.8,Chioides cf catillus,Chioides sp,12/13/16,K.Dexter,,Hesp,,56,61,BN000255,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE09,BN000469,good,450,9/28/16,MY-2016-HES-4,Hesperiidae,Hesperiinae,Erionotini,,Lotongus,calathus,calathus,Thorax,0.543,109,Lotongus calathus,Lotongus calathus,12/13/16,K.Dexter,Yago,Hesp,X,57,69,BN000469,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE10,BN000512,good,450,11/17/16,LEP 30312,Hesperiidae,Pyrginae,Erynnini,,Mylon,illineatus,,Thorax,0.288,57.6,Mylon illineatus,Mylon illineatus,12/13/16,K.Dexter,,Hesp,,58,77,BN000512,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE11,BN000288,good,450,9/28/16,MY-2016-HES-5,Hesperiidae,Hesperiinae,Erionotini,,Cupitha,purreea,,Thorax,0.293,58.6,Cupitha purreea,Cupitha purreea,12/13/16,K.Dexter,Yago,Hesp,X,59,85,BN000288,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WE12,BN000302,good,450,11/17/16,LEP 40455,Hesperiidae,Pyrginae,Tagiadini,,Daimio,tethys,,Thorax,0.305,61,Daimio tethys,Daimio tethys,12/13/16,K.Dexter,,Hesp,X,60,93,BN000302,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF01,BN000356,good,450,11/17/16,LEP 41733,Hesperiidae,Hesperiinae,Moncini,,Flaccilla,aecas,,Thorax,0.555,111,Flaccilla aecas,Flaccilla aecas,12/13/16,K.Dexter,,Hesp,X,61,6,BN000356,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF02,BN000674,good,450,9/28/16,MY-2016-HES-6,Hesperiidae,Hesperiinae,Hesperiini,,Psolos,fuligo,fuligo,Thorax,0.527,105,Psolos fuligo,Psolos fuligo,12/13/16,K.Dexter,Yago,Hesp,,62,14,BN000674,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF03,BN000156,good,450,11/17/16,LEP 40072,Hesperiidae,Hesperiinae,Hesperiini,,Atrytonopsis,edwardsii,,Thorax,0.32,64,Atrytonopsis edwardsii,Atrytonopsis edwardsii,12/13/16,K.Dexter,,Hesp,,63,22,BN000156,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF04,BN000725,good,450,9/28/16,MY-2016-HES-23,Hesperiidae,Pyrginae,Celaenorrhinini,,Sarangesa,dasahara,dasahara,Thorax,0.626,125,Sarangesa dasahara,Sarangesa dasahara,12/13/16,K.Dexter,Yago,Hesp,,64,30,BN000725,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF05,BN000789,good,450,9/28/16,MY-2016-HES-28,Hesperiidae,Pyrginae,Tagiadini,,Tagiades,japetus,atticus,Thorax,0.326,65.2,Tagiades japetus,Tagiades japetus,12/13/16,K.Dexter,Yago,Hesp,X,65,38,BN000789,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF06,BN000274,good,450,11/17/16,LEP 40097,Hesperiidae,Eudaminae,,,Cogia,hippalus,,Thorax,0.329,65.8,Cogia hippalus,Cogia hippalus,12/13/16,K.Dexter,,Hesp,,66,46,BN000274,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF07,BN000560,good,450,9/28/16,MY-2016-HES-42,Hesperiidae,Hesperiinae,Taractrocerini,,Oriens,gola,pseudolus,Thorax,0.33,66,Oriens gola,Oriens gola,12/13/16,K.Dexter,Yago,Hesp,X,67,54,BN000560,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF08,BN000647,good,450,9/28/16,MY-2016-HES-10,Hesperiidae,Hesperiinae,Baoridini,,Polytremis,lubricans,lubricans,Thorax,0.342,68.4,Polytremis lubricans,Polytremis lubricans,12/13/16,K.Dexter,Yago,Hesp,,68,62,BN000647,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF09,BN000556,good,450,11/17/16,LEP 39927,Hesperiidae,Hesperiinae,Hesperiini,,Oligoria,maculata,,Thorax,0.356,71.2,Oligoria maculata,Oligoria maculata,12/13/16,K.Dexter,,Hesp,X,69,70,BN000556,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF10,BN003856,good,450,,LEP 36765,Hesperiidae,Hesperiinae,Aeromachini,,Aeromachus,inachus,,,,71.6,Aeromachus inachus,,12/13/16,K. Dexter,,,,70,78,BN003856,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF11,BN000611,good,450,11/17/16,LEP 30379,Hesperiidae,Eudaminae,,,Phanus,grandis,,Thorax,0.364,72.8,Phanus grandis,Phanus grandis,12/13/16,K.Dexter,,Hesp,,71,86,BN000611,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WF12,BN000264,good,450,11/17/16,LEP 40053,Hesperiidae,Eudaminae,,,Codatractus,arizonensis,,Thorax,0.367,73.4,Codatractus arizonensis,Codatractus arizonensis,12/13/16,K.Dexter,,Hesp,,72,94,BN000264,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG01,BN000277,good,450,11/17/16,LEP 40120,Hesperiidae,Hesperiinae,Thymelicini,,Copaeodes,aurantiaca,,Thorax,0.369,73.8,Copaeodes aurantiaca,Copaeodes aurantiaca,12/13/16,K.Dexter,,Hesp,,73,7,BN000277,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG02,BN000609,good,450,11/17/16,LEP 30062,Hesperiidae,Hesperiinae,Hesperiini,,Perichares,lotus,,Thorax,0.74,148,Perichares lotus,Perichares lotus,12/13/16,K.Dexter,,Hesp,,74,15,BN000609,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG03,BN000092,good,450,11/17/16,LEP 40123,Hesperiidae,Megathyminae,Megathymini,,Agathymus,aryxna,,Thorax,0.376,75.2,Agathymus aryxna,Agathymus aryxna,12/13/16,K.Dexter,,Hesp,,75,23,BN000092,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG04,BN000193,good,450,8/19/16,LEP 37047 (24 Indo),Hesperiidae,Coeliadinae,,,Burara,oedipodea,,Thorax,0.652,130,Burara oedipodea,Burara oedipodea,12/13/16,K.Dexter,,Hesp,,76,31,BN000193,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG05,BN000663,good,450,12/2/16,LEP 39369,Hesperiidae,Hesperiinae,Hesperiini,,Problema,byssus,,Thorax,0.39,78,Problema byssus,Problema byssus,12/13/16,K.Dexter,,Hesp,X,77,39,BN000663,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG06,BN000539,good,450,9/28/16,LEP 26624,Hesperiidae,Hesperiinae,Thymelicini,,Oarisma,garita,,Thorax,0.392,78.4,Oarisma garita,Oarisma garita,12/13/16,K.Dexter,,Hesp,,78,47,BN000539,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG07,BN000432,good,450,9/28/16,MY-2016-HES-14,Hesperiidae,Hesperiinae,Erionotini,,Hyarotis,adrastus,praba,Thorax,0.395,79,Hyarotis adrastus,Hyarotis adrastus,12/13/16,K.Dexter,Yago,Hesp,X,79,55,BN000432,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG08,BN000227,good,450,11/17/16,LEP 30390,Hesperiidae,Hesperiinae,Carystini,,Carystina,aurifer,,Thorax,0.397,79.4,Carystina aurifer,Carystina aurifer,12/13/16,K.Dexter,,Hesp,,80,63,BN000227,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG09,BN000803,good,450,8/19/16,LEP 37050 (27a Indo),Hesperiidae,Hesperiinae,Taractocerini,,Telicota,augias,augias,Thorax,0.837,167,Telicota augias,Telicota augias,12/13/16,K.Dexter,,Hesp,,81,71,BN000803,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG10,BN000307,good,450,11/17/16,LEP 39439,Hesperiidae,Pyrginae,Pyrgini,,Diaeus,ambata,,Thorax,0.57,114,Diaeus ambata,Diaeus ambata,12/13/16,K.Dexter,,Hesp,,82,79,BN000307,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG11,BN000487,good,450,11/17/16,LEP 39475,Hesperiidae,Pyrginae,Carcharodini,,Mictris,crispus,caerula,Thorax,0.409,81.8,Mictris crispus,Mictris crispus,12/13/16,K.Dexter,,Hesp,,83,87,BN000487,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WG12,BN000120,good,450,9/28/16,LEP 27503,Hesperiidae,Hesperiinae,Thymelicini,,Ancyloxypha,numitor,,Thorax,0.411,82.2,Ancyloxypha numitor,Ancyloxypha numitor,12/13/16,K.Dexter,,Hesp,X,84,95,BN000120,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WH01,BN000162,good,450,9/28/16,MY-2016-HES-22,Hesperiidae,Coeliadinae,,,Badamia,exclamationis,,Thorax,0.421,84.2,Badamia exclamationis,Badamia exclamationis,12/13/16,K.Dexter,Yago,Hesp,X,85,8,BN000162,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WH02,BN000153,good,450,11/17/16,LEP 39479,Hesperiidae,Eudaminae,,,Astraptes,talus,,Thorax,0.422,84.4,Astraptes talus,Astraptes talus,12/13/16,K.Dexter,,Hesp,,86,16,BN000153,,,,,,,
YES,YES,YES,NA,,,FMN_456204_P01_WH03,BN000337,good,450,9/28/16,LEP 28757,Hesperiidae,Pyrginae,Erynnini,,Erynnis,horatius,,Thorax,0.422,84.4,Erynnis horatius,Erynnis horatius,12/13/16,K.Dexter,,Hesp,,87,24,BN000337,,,,,,,
